data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"10/03/2023";"19:29:00";"374";"ac02 - Aci";"766,4";"BR-365/MG";"Leste";"Colisão Traseira";1;0;0;0;0;1;0;0;0;1;0;1;0;1;0
"10/03/2023";"19:43:00";"379";"ac03 - Aci";"673";"BR-365/MG";"Oeste";"Choque - Sinalização";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"11/03/2023";"14:26:00";"177";"ac03 - Aci";"638,5";"BR-365/MG";"Leste";"Colisão Traseira";0;0;1;0;0;0;0;0;0;1;3;0;0;0;0
"11/03/2023";"14:50:00";"187";"ac02 - Aci";"661";"BR-365/MG";"Oeste";"Choque - Defensa metálica";0;0;0;0;0;0;0;0;0;1;0;0;1;1;0
"12/03/2023";"13:53:00";"154";"ac02 - Aci";"832,9";"BR-365/MG";"Oeste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
"12/03/2023";"19:25:00";"263";"ac02 - Aci";"102,5";"BR-364/GO";"Leste";"Colisão Frontal";1;0;0;0;0;0;0;0;0;1;5;1;1;0;0
"14/03/2023";"07:54:00";"59";"ac02 - Aci";"626,5";"BR-365/MG";"Oeste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
"14/03/2023";"17:04:00";"277";"ac03 - Aci";"626,05";"BR-365/MG";"Leste";"Choque - Meio fio";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"15/03/2023";"13:40:00";"223";"ac02 - Aci";"136,27";"BR-364/GO";"Oeste";"Choque - Outros";0;0;1;0;0;0;0;0;0;0;3;1;1;0;0
"15/03/2023";"15:01:00";"262";"ac03 - Aci";"156";"BR-364/GO";"Leste";"Colisão Traseira";0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"18/03/2023";"00:00:00";"1";"ac03 - Aci";"836,7";"BR-365/MG";"Oeste";"Choque - Talude ou Barranco";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"18/03/2023";"08:05:00";"76";"ac04 - Aci";"704,35";"BR-365/MG";"Oeste";"Choque - Outros";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"18/03/2023";"15:06:00";"243";"ac02 - Aci";"726,91";"BR-365/MG";"Oeste";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;1;1;2;0
"19/03/2023";"03:53:00";"28";"ac03 - Aci";"753";"BR-365/MG";"Leste";"Choque - Elemento de Drenagem";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"19/03/2023";"16:47:00";"236";"ac03 - Aci";"113";"BR-364/GO";"Leste";"Colisão Traseira";0;0;0;0;0;0;0;0;0;2;6;0;0;0;0
"19/03/2023";"17:20:00";"247";"ac02 - Aci";"173,6";"BR-364/GO";"Oeste";"Choque - Sinalização";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"20/03/2023";"21:44:00";"303";"ac02 - Aci";"706";"BR-365/MG";"Leste";"Tombamento";0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
"21/03/2023";"05:52:00";"34";"ac03 - Aci";"794,1";"BR-365/MG";"Leste";"Colisão Traseira";1;0;0;0;0;0;0;0;0;1;10;0;0;0;0
"21/03/2023";"20:49:00";"343";"ac03 - Aci";"669,1";"BR-365/MG";"Leste";"Choque - Meio fio";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"21/03/2023";"21:16:00";"351";"ac03 - Aci";"22,5";"BR-364/GO";"Leste";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"22/03/2023";"07:27:00";"58";"ac03 - Aci";"794,36";"BR-365/MG";"Leste";"Colisão Traseira";0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
"22/03/2023";"10:52:00";"135";"ac03 - Aci";"736,801";"BR-365/MG";"Oeste";"Choque - Veiculo parado na pista";1;0;1;0;0;0;0;0;0;0;3;0;0;0;0
"22/03/2023";"13:58:00";"213";"ac02 - Aci";"21,66";"BR-364/GO";"Leste";"Colisão Traseira";1;0;0;0;0;0;0;0;0;1;1;1;1;0;0
"22/03/2023";"21:55:00";"364";"ac02 - Aci";"726,1";"BR-365/MG";"Oeste";"Colisão Traseira";0;0;1;0;0;0;0;0;0;1;1;0;2;0;0
"23/03/2023";"22:10:00";"375";"ac03 - Aci";"793";"BR-365/MG";"Oeste";"Colisão Transversal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"24/03/2023";"00:11:00";"3";"ac02 - Aci";"706";"BR-365/MG";"Leste";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"24/03/2023";"05:42:00";"29";"ac02 - Aci";"119,3";"BR-364/GO";"Oeste";"Colisão Traseira";1;0;0;0;0;0;0;0;0;1;2;1;0;0;0
"24/03/2023";"17:23:00";"258";"ac03 - Aci";"820,14";"BR-365/MG";"Oeste";"Colisão Transversal";1;0;1;0;0;0;0;0;0;0;3;0;0;0;0
"24/03/2023";"17:59:00";"266";"ac02 - Aci";"36,45";"BR-364/GO";"Leste";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
"27/03/2023";"16:35:00";"276";"ac02 - Aci";"671,35";"BR-365/MG";"Leste";"Capotamento";0;0;0;0;0;0;0;0;0;1;1;1;1;0;0
"28/03/2023";"12:49:00";"169";"ac03 - Aci";"706";"BR-365/MG";"Leste";"Colisão Transversal";0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
"28/03/2023";"13:32:00";"174";"ac03 - Aci";"627";"BR-365/MG";"Oeste";"Choque - Meio fio";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"29/03/2023";"04:47:00";"35";"ac04 - Aci";"156";"BR-364/GO";"Oeste";"Choque - Outros";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"29/03/2023";"05:16:00";"38";"ac03 - Aci";"854,12";"BR-365/MG";"Oeste";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"30/03/2023";"07:11:00";"59";"ac03 - Aci";"645,6";"BR-365/MG";"Leste";"Choque - Sinalização";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"30/03/2023";"22:10:00";"408";"ac03 - Aci";"842,561";"BR-365/MG";"Leste";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;2;0;0;0;0
"31/03/2023";"14:23:00";"248";"ac02 - Aci";"643,2";"BR-365/MG";"Leste";"Capotamento";0;0;0;0;0;0;0;0;0;1;0;1;1;0;0
"31/03/2023";"15:47:00";"282";"ac02 - Aci";"779,5";"BR-365/MG";"Leste";"Colisão Traseira";2;0;1;0;0;0;0;0;0;0;1;0;3;0;0
"31/03/2023";"16:52:00";"307";"ac03 - Aci";"706";"BR-365/MG";"Oeste";"Choque - Talude ou Barranco";1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"31/03/2023";"22:08:00";"408";"ac03 - Aci";"637,13";"BR-365/MG";"Leste";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"31/03/2023";"22:23:00";"410";"ac01 - Aci";"637,199";"BR-365/MG";"Leste";"Atropelamento de Animal";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"01/04/2023";"01:13:00";"14";"ac03 - Aci";"18,2";"BR-364/GO";"Oeste";"Capotamento";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"01/04/2023";"19:39:00";"331";"ac03 - Aci";"859,16";"BR-365/MG";"Leste";"Atropelamento de Animal";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"03/04/2023";"09:57:00";"129";"ac03 - Aci";"826,65";"BR-365/MG";"Oeste";"Tombamento";1;0;0;0;0;1;0;0;0;0;2;0;0;0;0
"03/04/2023";"14:17:00";"198";"ac02 - Aci";"662,6";"BR-365/MG";"Oeste";"Capotamento";1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"03/04/2023";"15:11:00";"220";"ac02 - Aci";"694,73";"BR-365/MG";"Leste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;3;1;0;0;0
"03/04/2023";"22:41:00";"325";"ac03 - Aci";"735,8";"BR-365/MG";"Oeste";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"04/04/2023";"12:55:00";"200";"ac03 - Aci";"848,8";"BR-365/MG";"Oeste";"Objeto lançado contra veículo";0;0;1;0;0;1;0;0;0;0;3;0;0;0;0
